2021-02-01 10:58:43 status half-installed libsemanage1:amd64 3.0-1build2
2021-02-01 10:58:43 status unpacked libsemanage1:amd64 3.0-1build2
2021-02-01 10:58:43 install libsepol1:amd64 <none> 3.0-1
2021-02-01 10:58:43 status half-installed libsepol1:amd64 3.0-1
2021-02-01 10:58:43 status unpacked libsepol1:amd64 3.0-1
2021-02-01 10:58:43 install libsmartcols1:amd64 <none> 2.34-0.1ubuntu9
2021-02-01 10:58:43 status half-installed libsmartcols1:amd64 2.34-0.1ubuntu9
2021-02-01 10:58:43 status unpacked libsmartcols1:amd64 2.34-0.1ubuntu9
2021-02-01 10:58:43 install libss2:amd64 <none> 1.45.5-2ubuntu1
2021-02-01 10:58:43 status half-installed libss2:amd64 1.45.5-2ubuntu1
2021-02-01 10:58:43 status unpacked libss2:amd64 1.45.5-2ubuntu1
2021-02-01 10:58:43 install libsystemd0:amd64 <none> 245.4-4ubuntu3
2021-02-01 10:58:43 status half-installed libsystemd0:amd64 245.4-4ubuntu3
2021-02-01 10:58:43 status unpacked libsystemd0:amd64 245.4-4ubuntu3
2021-02-01 10:58:43 install libtinfo6:amd64 <none> 6.2-0ubuntu2
2021-02-01 10:58:43 status half-installed libtinfo6:amd64 6.2-0ubuntu2
2021-02-01 10:58:43 status unpacked libtinfo6:amd64 6.2-0ubuntu2
2021-02-01 10:58:43 install libudev1:amd64 <none> 245.4-4ubuntu3
2021-02-01 10:58:43 status half-installed libudev1:amd64 245.4-4ubuntu3
2021-02-01 10:58:43 status unpacked libudev1:amd64 245.4-4ubuntu3
2021-02-01 10:58:43 install libuuid1:amd64 <none> 2.34-0.1ubuntu9
2021-02-01 10:58:43 status half-installed libuuid1:amd64 2.34-0.1ubuntu9
2021-02-01 10:58:43 status unpacked libuuid1:amd64 2.34-0.1ubuntu9
2021-02-01 10:58:43 install libzstd1:amd64 <none> 1.4.4+dfsg-3
2021-02-01 10:58:43 status half-installed libzstd1:amd64 1.4.4+dfsg-3
2021-02-01 10:58:43 status unpacked libzstd1:amd64 1.4.4+dfsg-3
2021-02-01 10:58:43 install login:amd64 <none> 1:4.8.1-1ubuntu5
2021-02-01 10:58:43 status half-installed login:amd64 1:4.8.1-1ubuntu5
2021-02-01 10:58:43 status unpacked login:amd64 1:4.8.1-1ubuntu5
2021-02-01 10:58:43 install logsave:amd64 <none> 1.45.5-2ubuntu1
2021-02-01 10:58:43 status half-installed logsave:amd64 1.45.5-2ubuntu1
2021-02-01 10:58:43 status unpacked logsave:amd64 1.45.5-2ubuntu1
2021-02-01 10:58:43 install lsb-base:all <none> 11.1.0ubuntu2
2021-02-01 10:58:43 status half-installed lsb-base:all 11.1.0ubuntu2
2021-02-01 10:58:43 status unpacked lsb-base:all 11.1.0ubuntu2
2021-02-01 10:58:43 upgrade mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2021-02-01 10:58:43 status half-configured mawk:amd64 1.3.4.20200120-2
2021-02-01 10:58:43 status unpacked mawk:amd64 1.3.4.20200120-2
2021-02-01 10:58:43 status half-installed mawk:amd64 1.3.4.20200120-2
2021-02-01 10:58:43 status unpacked mawk:amd64 1.3.4.20200120-2
2021-02-01 10:58:43 install mount:amd64 <none> 2.34-0.1ubuntu9
2021-02-01 10:58:43 status half-installed mount:amd64 2.34-0.1ubuntu9
2021-02-01 10:58:43 status unpacked mount:amd64 2.34-0.1ubuntu9
2021-02-01 10:58:43 install ncurses-base:all <none> 6.2-0ubuntu2
2021-02-01 10:58:43 status half-installed ncurses-base:all 6.2-0ubuntu2
2021-02-01 10:58:43 status unpacked ncurses-base:all 6.2-0ubuntu2
2021-02-01 10:58:43 install ncurses-bin:amd64 <none> 6.2-0ubuntu2
2021-02-01 10:58:43 status half-installed ncurses-bin:amd64 6.2-0ubuntu2
2021-02-01 10:58:44 status unpacked ncurses-bin:amd64 6.2-0ubuntu2
